file_name,question,options,answer,explanation,value
B1_alternatives.json,The _______ of this book is blue.,"['color', 'material', 'weight', 'shape']",1,"""Color"" refers to the hue or shade of an object. In this context, the statement is about the blue color of the book.",0
B1_alternatives.json,The _______ of this table is round.,"['length', 'shape', 'material', 'color']",2,"""Shape"" refers to the form or outline of an object. In this context, the table is described as round, which is a shape.",0
B1_alternatives.json,The _______ of this suitcase is 20 lbs.,"['material', 'shape', 'weight', 'length']",3,"""Weight"" refers to how heavy an object is. In this context, the suitcase weighs 20 pounds.",0
B1_alternatives.json,This suitcase is a small _______,"['material', 'color', 'size', 'weight']",3,"""Size"" refers to the dimensions or magnitude of an object. In this context, the suitcase is small in size.",0
B1_alternatives.json,This window is high. Its _______ is three feet.,"['material', 'color', 'shape', 'height']",4,"""Height"" refers to the measurement from the base to the top of an object. In this context, the window's height is three feet.",0
B1_alternatives.json,This is a wide street. Its _______ is 36 feet.,"['width', 'material', 'shape', 'height']",1,"""Width"" refers to the measurement from side to side. In this context, the street's width is 36 feet.",0
B1_alternatives.json,This _______ feels soft.,"['color', 'length', 'weight', 'material']",4,"""Material"" refers to the substance from which an object is made. In this context, the material feels soft.",0
B1_alternatives.json,This suitcase is awfully heavy. It is not _______,"['light', 'thick', 'wet', 'narrow']",1,"""Light"" is the opposite of heavy. In this context, the suitcase being heavy means it is not light.",0
B1_alternatives.json,This table is pretty small. It is not _______,"['thin', 'large', 'short', 'light']",2,"""Large"" is the opposite of small. In this context, the table being small means it is not large.",0
B1_alternatives.json,This material feels fairly soft. It is not _______,"['long', 'wide', 'hard', 'heavy']",3,"""Hard"" is the opposite of soft. In this context, the material being soft means it is not hard.",0
B1_alternatives.json,Jones Boulevard is very wide. It is not _______,"['soft', 'wet', 'heavy', 'narrow']",4,"""Narrow"" is the opposite of wide. In this context, the boulevard being wide means it is not narrow.",0
B1_alternatives.json,The window was wet. It was not _______,"['dry', 'soft', 'heavy', 'wide']",1,"""Dry"" is the opposite of wet. In this context, the window being wet means it is not dry.",0
B1_alternatives.json,These walls are two feet thick. They are not _______,"['long', 'thin', 'narrow', 'light']",2,"""Thin"" is the opposite of thick. In this context, the walls being thick means they are not thin.",0
B1_alternatives.json,This street is very long. It is not _______,"['wide', 'thick', 'short', 'heavy']",3,"""Short"" is the opposite of long. In this context, the street being long means it is not short.",0
B1_alternatives.json,This is a thin book. It is not _______,"['wide', 'soft', 'long', 'thick']",4,"""Thick"" is the opposite of thin. In this context, the book being thin means it is not thick.",0
B1_alternatives.json,This is a narrow window. It is not _______,"['thick', 'soft', 'wide', 'long']",3,"""Wide"" is the opposite of narrow. In this context, the window being narrow means it is not wide.",0
B1_alternatives.json,This is a light briefcase. It is not _______,"['wet', 'heavy', 'wide', 'thick']",2,"""Heavy"" is the opposite of light. In this context, the briefcase being light means it is not heavy.",0
B1_alternatives.json,This is a hard bed. It is not _______,"['soft', 'long', 'narrow', 'dry']",1,"""Soft"" is the opposite of hard. In this context, the bed being hard means it is not soft.",0
B1_alternatives.json,This street is dry. It is not _______,"['thick', 'hard', 'narrow', 'wet']",4,"""Wet"" is the opposite of dry. In this context, the street being dry means it is not wet.",0
B1_alternatives.json,This table is short. It is not _______,"['heavy', 'long', 'dry', 'narrow']",2,"""Long"" is the opposite of short. In this context, the table being short means it is not long.",0
B1_alternatives.json,_______ is that wall? It is three feet thick.,"['how thick', 'what color', 'how tall', 'what shape']",1,"""How thick"" is the correct question to ask about the measurement of the wall's thickness. The answer indicates the thickness of the wall.",0
B1_alternatives.json,_______ of that street? It is 36 feet wide.,"['how thick', 'what is the width', 'what color', 'what shape']",2,"""What is the width"" is the correct question to ask about the measurement of the street's width. The answer indicates the width of the street.",0
B1_alternatives.json,_______ is this book than that one? They are the same weight.,"['how tall', 'what color', 'how much heavier', 'what is the width']",3,"""How much heavier"" is the correct question to ask about the weight comparison between two objects. The context specifies that the books are the same weight.",0
B1_alternatives.json,_______ is your book? It is red and blue.,"['how thick', 'what is the weight', 'how tall', 'what color']",4,"""What color"" is the correct question to ask about the color of the book. The answer indicates the colors red and blue.",0
B1_alternatives.json,_______ are your suitcases? One is small and the other is medium.,"['what sizes', 'what color', 'what shape', 'how tall']",1,"""What sizes"" is the correct question to ask about the sizes of the suitcases. The answer indicates one is small and the other is medium.",0
B1_alternatives.json,_______ is that table? It is round.,"['what sizes', 'what shape', 'what is the width', 'how thick']",2,"""What shape"" is the correct question to ask about the form of the table. The answer indicates that the table is round.",0
B1_alternatives.json,_______ of that material? It is three yards long.,"['what is the thickness', 'what shape', 'what color', 'what is the length']",4,"""What is the length"" is the correct question to ask about the measurement of the material's length. The answer indicates it is three yards long.",0
B1_alternatives.json,_______ is John? His height is exactly six feet.,"['what sizes', 'what color', 'how tall', 'what is the width']",3,"""How tall"" is the correct question to ask about the height of a person. The answer indicates John's height is six feet.",0
B1_alternatives.json,How many pounds do you _______ ?,"['weigh', 'am', 'measures', 'measure']",1,"""Weigh"" is the correct verb to use when asking about someone's weight. The question is asking for the weight in pounds.",0
B1_alternatives.json,I don’t know how many pounds I _______,"['measure', 'weigh', 'am', 'measures']",2,"""Weigh"" is the correct verb to use when talking about one's own weight. The statement indicates uncertainty about the weight.",0
B1_alternatives.json,John _______ one hundred and fifty pounds.,"['weighs', 'measuring', 'is', 'are']",1,"""Weighs"" is the correct verb to use when stating someone's weight. The sentence specifies John's weight.",0
B1_alternatives.json,You _______ your suitcase to see what size it is.,"['am', 'weighs', 'measuring', 'measure']",4,"""Measure"" is the correct verb to use when determining the size of an object. The context is about finding out the suitcase's size.",0
B1_alternatives.json,My mother _______ the windows to see how wide they are.,"['is', 'measures', 'are', 'weigh']",2,"""Measures"" is the correct verb to use when determining the width of the windows. The sentence describes an action taken by the mother.",0
B1_alternatives.json,I _______ heavier than my sister.,"['weighs', 'measure', 'am', 'measuring']",3,"""Am"" is the correct verb to use in this context, as it links the subject ""I"" with the predicate ""heavier than my sister.""",0
B1_alternatives.json,These windows _______ wider than those.,"['weigh', 'measures', 'are', 'am']",3,"""Are"" is the correct verb to use to indicate the state of the windows. The sentence compares the width of two sets of windows.",0
B1_alternatives.json,Dogs _______ smaller than elephants.,"['are', 'measures', 'measuring', 'am']",1,"""Are"" is the correct verb to use to indicate the state of being. The sentence compares the size of dogs and elephants.",0
B1_alternatives.json,How much does that typewriter _______ ?,"['measures', 'are', 'am', 'weigh']",4,"""Weigh"" is the correct verb to use when asking about the weight of an object. The question is asking for the typewriter's weight.",0
B1_alternatives.json,They are _______ the windows now to see how high they are.,"['measures', 'measuring', 'weigh', 'am']",2,"""Measuring"" is the correct verb to use when determining the height of the windows. The sentence describes the action being taken.",0
B1_alternatives.json,I am _______ my suitcase to see what its weight is.,"['weighing', 'measures', 'are', 'weigh']",1,"""Weighing"" is the correct verb to use when determining the weight of an object. The sentence describes the action being taken.",0
B1_alternatives.json,The boulevard _______ only three miles long.,"['measures', 'are', 'measuring', 'is']",4,"""Is"" is the correct verb to use to describe the state of being. The sentence specifies the length of the boulevard.",0
B1_alternatives.json,That man is _______ the boulevard now to see what its width is.,"['weighing', 'measuring', 'measures', 'are']",2,"""Measuring"" is the correct verb to use when determining the width of the boulevard. The sentence describes the action being taken by the man.",0
B1_alternatives.json,That street _______ longer than this one.,"['is', 'measures', 'am', 'weigh']",1,"""Is"" is the correct verb to use to describe the state of being. The sentence compares the length of two streets.",0
B1_alternatives.json,"Will you _______ the length of this material for me, please?","['measures', 'weighing', 'are', 'measure']",4,"""Measure"" is the correct verb to use when determining the length of an object. The sentence is a request to measure the material.",0
B1_alternatives.json,Please ask John to _______ the lights _______ It’s dark in here.,"['turn, on', 'hang, up', 'pick, up', 'turn, off']",1,"""Turn on"" means to activate or switch on an electrical appliance. In this context, it means to turn on the lights because it's dark.",0
